,Unnamed: 0,name,P_c,smiles
0,0,Methane,46.1,C
1,1,Ammonia,113,N
2,2,Water,220.64,O
3,3,Acetylene,61.38,C#C
4,4,Nitrogen,33.978,[NH2]
5,5,Ethane,49,CC
6,6,Methylamine,76.5,CN
7,7,Oxygen,50.43,O
8,8,Methyl Alcohol,81,CO
9,9,Hydrogen peroxide,220,OO
10,10,Methyl fluoride,58.7,CF
11,11,Hydrogen sulfide,89.7,S
12,12,Propyne,56.3,CC#C
13,13,Allene,52.5,[CH2]=[C]=[CH2]
14,14,Acetonitrile,48.7,CC#N
15,15,Cyclopropane,55.4,C1CC1
16,16,Propene,46,CC=C
17,17,Carbon dioxide,73.8,O=C=O
18,18,Ethylene oxide,72.33,C1CO1
19,19,Propane,42.5,CCC
20,20,Dimethylamine,53.4,CNC
21,21,Ethylamine,56.2759,CCN
22,22,Ethanol,63,CCO
23,23,Dimethyl ether,54,COC
24,24,"Ethane, fluoro-",50.2775,CCF
25,25,Methanethiol,72.3,CS
26,26,Chloromethane,67.144,CCl
27,27,2-Propenenitrile,46.6,C=CC#N
28,28,1-Butyne,46,CCC#C
29,29,"1,3-Butadiene",43.2,C=CC=C
30,30,Propanenitrile,42.6,CCC#N
31,31,1-Butene,40.2,CCC=C
32,32,Propylene oxide,54.4,CC1CO1
33,33,Acetone,48,CC(C)=O
34,34,Propanal,52.6,CCC=O
35,35,Butane,38,CCCC
36,36,Isobutane,36.5,CC(C)C
37,37,Propylamine,47.3796,CCCN
38,38,2-Propanamine,45.4,CC(C)N
39,39,"Methylamine, N,N-dimethyl-",40.87,CN(C)C
40,40,Acetic acid,57.81,CC(O)=O
41,41,Methyl formate,60.04,COC=O
42,42,Carbonyl sulfide,63.49,O=C=S
43,43,"Ethane, methoxy-",43.61,CCOC
44,44,1-Propanol,52,CCCO
45,45,Isopropyl Alcohol,49,CC(C)O
46,46,Ethylenediamine,67.07,NCCN
47,47,"Methane, nitro-",58.7,C[N+]([O-])=O
48,48,"1,2-Ethanediol",82,OCCO
49,49,Dimethyl sulfide,55.3,CSC
50,50,Ethanethiol,54.9,CCS
51,51,"Ethene, 1,1-difluoro-",44.3331,FC(F)=C
52,52,Ethyl Chloride,52.4053,CCCl
53,53,"Ethane, 1,1-difluoro-",44.95,CC(F)F
54,54,Pyrrole,56.742,[nH]1cccc1
55,55,Furan,53.2,o1cccc1
56,56,Cyclopentene,48,C1CC=CC1
57,57,Isoxazole,61,o1cccn1
58,58,Butanenitrile,38,CCCC#N
