,Unnamed: 0,name,T_c,smiles
0,0,Methane,190.6,C
1,1,Ammonia,405.4,N
2,2,Water,647,O
3,3,Acetylene,308.3,C#C
4,4,Nitrogen,126.19,[NH2]
5,5,Ethane,305.3,CC
6,6,Methylamine,430.85,CN
7,7,Oxygen,154.58,O
8,8,Methyl Alcohol,513,CO
9,9,Hydrogen peroxide,728,OO
10,10,Methyl fluoride,317.4,CF
11,11,Hydrogen sulfide,373.3,S
12,12,Propyne,402.4,CC#C
13,13,Allene,394,[CH2]=[C]=[CH2]
14,14,Acetonitrile,545,CC#N
15,15,Cyclopropane,398,C1CC1
16,16,Propene,365.2,CC=C
17,17,Carbon dioxide,304.18,O=C=O
18,18,Acetaldehyde,466,CC=O
19,19,Ethylene oxide,468.9,C1CO1
20,20,Propane,369.9,CCC
21,21,Dimethylamine,437.22,CNC
22,22,Ethylamine,456.55,CCN
23,23,Formic acid,577,OC=O
24,24,Ethanol,514,CCO
25,25,Dimethyl ether,401,COC
26,26,"Ethane, fluoro-",375.31,CCF
27,27,Methanethiol,469.9,CS
28,28,Chloromethane,416,CCl
29,29,2-Propenenitrile,540,C=CC#N
30,30,1-Butyne,440,CCC#C
31,31,"1,3-Butadiene",425,C=CC=C
32,32,Propanenitrile,561.3,CCC#N
33,33,1-Butene,419.5,CCC=C
34,34,Propylene oxide,488.2,CC1CO1
35,35,Trimethylene oxide,507.9,C1COC1
36,36,2-Propen-1-ol,545.1,OCC=C
37,37,Acetone,508,CC(C)=O
38,38,Propanal,600,CCC=O
39,39,Butane,425,CCCC
40,40,Isobutane,407.7,CC(C)C
41,41,Propylamine,497,CCCN
42,42,2-Propanamine,471.8,CC(C)N
43,43,"Methylamine, N,N-dimethyl-",433.2,CN(C)C
44,44,Acetic acid,593,CC(O)=O
45,45,Methyl formate,487.2,COC=O
46,46,Carbonyl sulfide,378.8,O=C=S
47,47,"Ethane, methoxy-",438.03,CCOC
48,48,1-Propanol,536.9,CCCO
49,49,Isopropyl Alcohol,509,CC(C)O
50,50,Ethylenediamine,613.1,NCCN
51,51,"Methane, nitro-",588,C[N+]([O-])=O
52,52,"1,2-Ethanediol",720,OCCO
53,53,Dimethyl sulfide,503,CSC
54,54,Ethanethiol,499,CCS
55,55,"Ethene, 1,1-difluoro-",302.74,FC(F)=C
56,56,Sulfur dioxide,430.34,O=[S]=O
57,57,Ethyl Chloride,460.35,CCCl
58,58,"Ethane, 1,1-difluoro-",386.5,CC(F)F
59,59,Pyrrole,639.8,[nH]1cccc1
60,60,Furan,490.2,o1cccc1
61,61,Cyclopentene,506.5,C1CC=CC1
62,62,Spiropentane,506.4,C1CC12CC2
63,63,Isoxazole,590,o1cccn1
64,64,Butanenitrile,585.4,CCCC#N
65,65,Fluoroform,299.1,FC(F)F
66,66,2-Methyl-1-butene,470,CCC(C)=C
67,67,"2-Butene, 2-methyl-",470,CC=C(C)C
68,68,"1-Butene, 3-methyl-",452.7,CC(C)C=C
69,69,Cyclopentane,511.7,C1CCCC1
70,70,1-Pentene,464.8,CCCC=C
71,71,2-Propenoic acid,616.57,OC(=O)C=C
72,72,2-Butanone,535,CCC(C)=O
73,73,Butanal,537.1,CCCC=O
74,74,"Ethene, ethoxy-",475,CCOC=C
75,75,Tetrahydrofuran,540.2,C1CCOC1
76,76,"Butane, 2-methyl-",461,CCC(C)C
77,77,Neopentane,433.8,CC(C)(C)C
78,78,Pentane,469.8,CCCCC
79,79,"Formamide, N,N-dimethyl-",649.6,CN(C)C=O
80,80,Isobutylamine,516.9,CC(C)CN
81,81,"2-Propanamine, 2-methyl-",483.9,CC(C)(C)N
82,82,1-Butanamine,524,CCCCN
83,83,"2-Butanamine, (S)-",509.4,CC[C@H](C)N
84,84,"Ethanamine, N-ethyl-",498,CCNCC
85,85,"2-Propanamine, N-methyl-",490.7,CNC(C)C
86,86,Ethyl formate,508,CCOC=O
87,87,"Acetic acid, methyl ester",510,COC(C)=O
88,88,Propanoic acid,607,CCC(O)=O
89,89,Methyl propyl ether,476.3,CCCOC
90,90,"Propane, 2-methoxy-",464.5,COC(C)C
91,91,"1-Propanol, 2-methyl-",548,CC(C)CO
92,92,"2-Propanol, 2-methyl-",506.2,CC(C)(C)O
93,93,1-Butanol,562,CCCCO
94,94,Ethyl ether,467,CCOCC
95,95,"Ethanol, 2-(methylamino)-",630,CNCCO
96,96,"Ethanol, 2-methoxy-",597.6,COCCO
