name,P_c,T_c,V_c,rho_c
,-1,-1,-1,-1
Methane,46.1,190.6,0.0986,10.1
Ammonia,113,405.4,-1,-1
Water,220.64,647,-1,17.9
Acetylene,61.38,308.3,0.1122,8.91
Hydrogen cyanide,-1,-1,-1,-1
Nitrogen,33.978,126.19,-1,11.18
"Ethene, homopolymer",-1,-1,-1,-1
Formaldehyde,-1,-1,-1,-1
Ethane,49,305.3,0.147,6.9
,-1,-1,-1,-1
Methylamine,76.5,430.85,0.1385,-1
Oxygen,50.43,154.58,-1,13.6
Methyl Alcohol,81,513,0.117,8.51
Hydrazine,-1,-1,-1,-1
Hydroxylamine,-1,-1,-1,-1
Phosphine,-1,-1,-1,-1
Hydrogen peroxide,220,728,-1,-1
Methyl fluoride,58.7,317.4,-1,9.2
Hydrogen sulfide,89.7,373.3,-1,10.2
Propyne,56.3,402.4,0.1635,6.12
Allene,52.5,394,-1,-1
,-1,-1,-1,-1
Acetonitrile,48.7,545,-1,-1
Methyl isocyanide,-1,-1,-1,-1
Cyclopropane,55.4,398,0.162,6.15
Propene,46,365.2,0.1846,5.42
Cyanic acid,-1,-1,-1,-1
Ethylenimine,-1,-1,-1,-1
Carbon dioxide,73.8,304.18,0.0919,10.6
Acetaldehyde,-1,466,-1,6.49
Ethylene oxide,72.33,468.9,-1,7.13
,-1,-1,-1,-1
Propane,42.5,369.9,0.2,5.1
Formamide,-1,-1,-1,-1
Dimethylamine,53.4,437.22,-1,-1
Ethylamine,56.2759,456.55,-1,5.408
Formic acid,-1,577,-1,-1
"Ethene, fluoro-",-1,-1,-1,-1
Ethanol,63,514,0.168,6
Dimethyl ether,54,401,0.164,5.351
"Hydrazine, methyl-",-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
Methyl peroxide,-1,-1,-1,-1
"Ethane, fluoro-",50.2775,375.31,-1,-1
Methanethiol,72.3,469.9,-1,6.891
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
"1,3-Butadiyne",-1,-1,-1,-1
Chloromethane,67.144,416,-1,7.1895
Propiolonitrile,-1,-1,-1,-1
,-1,-1,-1,-1
1-Buten-3-yne,-1,-1,-1,-1
,-1,-1,-1,-1
2-Propenenitrile,46.6,540,-1,-1
,-1,-1,-1,-1
2-Cyclopropen-1-one,-1,-1,-1,-1
,-1,-1,-1,-1
2-Propynal,-1,-1,-1,-1
,-1,-1,-1,-1
